x,y
15.125,175.162
15.625,235.284
14.5,151.76
14.9375,205.99
15.5781,180.046
15.125,125.04
15.75,213.99
15.5625,181.868
15,179.178
16.4375,201.78
15.75,191.482
13.6875,298.012
13.3125,301.548
15.875,512.46
15.8125,309.74
16.09,184.804
16.92,399.76
17.25,370.442
17,341.844
18.55,347.242
17.8,354.028
20.09,373.868
20.15,264.054
20.98,259.14
19.17,205.662
19.1,205.24
18.74,145.472
19.75,146.72
19.85,152.594
21.05,210.192
22.4,208.956
23.7,356.592
21.97,196.328
20.48,249.102
20.27,138.142
20.38,153.752
19.24,171.52
19.36,124.914
18.43,91.882
17.83,98.328
19.05,168.774
19.87,195.136
20.32,185.218
20.04,103.632
21.5,239.256
23.07,302.898
21.88,150.63
21.55,173.15
21.36,77.07
20.85,154.254
19.04,161.732
19.6,185.876
20.15,179.452
20.5,241.604
20.1,141.498
20.82,162.35
19.43,152.904
19.44,110.396
18.54,135.958
18.52,156.368
18.39,122.58
17.48,165.704
16.75,172.348
16.64,116.46
16.51,195.678
18.51,219.716
18.5,217.896
18.21,129.104
19.97,338.34
19.62,275.884
19.64,212.02
19.68,161.576
20,118.81
20.55,140.624
20.15,73.514
20.87,190.238
19,193.182
18.87,143.35
19.02,129.272
17.55,502.312
18.62,319.9
19.06,194.262
19.19,235.822
18.7,157.342
18.25,206.64
17.89,163.264
18.05,173.944
18.29,118.282
17.77,118.316
17.25,101.778
17.7,117.84
18.5,126.158
18.39,85.016
18.25,94.684
18.59,140.352
18.7,75.316
18.51,74.776
17.84,72.606
17.82,75.914
17.5,100.088
16.57,160.244
16.26,186.424
15.8,103.818
16.01,173.114
15.08,219.562
14.94,147.912
14.62,90.496
14.78,97.626
14.69,125.898
13.47,182.09
13.85,156.564
14.27,133.11
14.07,150.454
13.72,142.704
13.34,215.796
12,237.88
11.9,156.67
12.41,186.058
11.69,241.146
11.55,299.712
11.16,177.918
12.35,295.628
11.32,349.582
11.13,208.934
10.4,245.42
10.34,161.032
